,Address,AddressAccuracy,AddressNumberAndStreet,Block,Date,Latitude,Longitude,NumMosquitos,Species,Street,Time,Trap,WnvPresent,geometry,spray
28,"7900 West Foster Avenue, Chicago, IL 60656, USA",8.0,"7900  W FOSTER AVE, Chicago, IL",79.0,2007-06-05,41.9741,-87.8248,1.0,CULEX PIPIENS/RESTUANS, W FOSTER AVE,,T015,0.0,POINT (-87.82481199999999 41.974089),no_spray
29,"7900 West Foster Avenue, Chicago, IL 60656, USA",8.0,"7900  W FOSTER AVE, Chicago, IL",79.0,2007-06-05,41.9741,-87.8248,2.0,CULEX RESTUANS, W FOSTER AVE,,T015,0.0,POINT (-87.82481199999999 41.974089),no_spray
30,"1500 West Webster Avenue, Chicago, IL 60614, USA",8.0,"1500  W WEBSTER AVE, Chicago, IL",15.0,2007-06-05,41.9216,-87.6665,1.0,CULEX PIPIENS/RESTUANS, W WEBSTER AVE,,T045,0.0,POINT (-87.666455 41.9216),no_spray
31,"1500 West Webster Avenue, Chicago, IL 60614, USA",8.0,"1500  W WEBSTER AVE, Chicago, IL",15.0,2007-06-05,41.9216,-87.6665,2.0,CULEX RESTUANS, W WEBSTER AVE,,T045,0.0,POINT (-87.666455 41.9216),no_spray
32,"1500 West Webster Avenue, Chicago, IL 60614, USA",8.0,"1500  W WEBSTER AVE, Chicago, IL",15.0,2007-06-05,41.9216,-87.6665,1.0,CULEX PIPIENS, W WEBSTER AVE,,T045,0.0,POINT (-87.666455 41.9216),no_spray
33,"2500 West Grand Avenue, Chicago, IL 60654, USA",8.0,"2500  W GRAND AVE, Chicago, IL",25.0,2007-06-05,41.8911,-87.6545,1.0,CULEX RESTUANS, W GRAND AVE,,T046,0.0,POINT (-87.65449100000001 41.891118),no_spray
34,"1100 Roosevelt Road, Chicago, IL 60608, USA",8.0,"1100  W ROOSEVELT, Chicago, IL",11.0,2007-06-05,41.8671,-87.6542,1.0,CULEX PIPIENS/RESTUANS, W ROOSEVELT,,T048,0.0,POINT (-87.654224 41.867108),no_spray
35,"1100 Roosevelt Road, Chicago, IL 60608, USA",8.0,"1100  W ROOSEVELT, Chicago, IL",11.0,2007-06-05,41.8671,-87.6542,1.0,CULEX RESTUANS, W ROOSEVELT,,T048,0.0,POINT (-87.654224 41.867108),no_spray
36,"1100 Roosevelt Road, Chicago, IL 60608, USA",8.0,"1100  W ROOSEVELT, Chicago, IL",11.0,2007-06-05,41.8671,-87.6542,2.0,CULEX PIPIENS, W ROOSEVELT,,T048,0.0,POINT (-87.654224 41.867108),no_spray
37,"1100 West Chicago Avenue, Chicago, IL 60642, USA",8.0,"1100  W CHICAGO, Chicago, IL",11.0,2007-06-05,41.8963,-87.6552,2.0,CULEX RESTUANS, W CHICAGO,,T049,0.0,POINT (-87.655232 41.896282),no_spray
38,"2100 North Stave Street, Chicago, IL 60647, USA",8.0,"2100  N STAVE ST, Chicago, IL",21.0,2007-06-05,41.9193,-87.6943,1.0,CULEX PIPIENS/RESTUANS, N STAVE ST,,T050,0.0,POINT (-87.694259 41.919343),no_spray
39,"2100 North Stave Street, Chicago, IL 60647, USA",8.0,"2100  N STAVE ST, Chicago, IL",21.0,2007-06-05,41.9193,-87.6943,1.0,CULEX RESTUANS, N STAVE ST,,T050,0.0,POINT (-87.694259 41.919343),no_spray
40,"2200 North Cannon Drive, Chicago, IL 60614, USA",8.0,"2200  N CANNON DR, Chicago, IL",22.0,2007-06-05,41.922,-87.6321,3.0,CULEX RESTUANS, N CANNON DR,,T054,0.0,POINT (-87.632085 41.921965),no_spray
41,"2200 West 113th Street, Chicago, IL 60643, USA",8.0,"2200  W 113TH ST, Chicago, IL",22.0,2007-06-05,41.6883,-87.6767,4.0,CULEX RESTUANS, W 113TH ST,,T086,0.0,POINT (-87.676709 41.688324),no_spray
42,"1700 West 95th Street, Chicago, IL 60643, USA",9.0,"1700  W 95TH ST, Chicago, IL",17.0,2007-06-05,41.7208,-87.666,2.0,CULEX PIPIENS/RESTUANS, W 95TH ST,,T094,0.0,POINT (-87.666014 41.720848),no_spray
43,"2200 West 89th Street, Chicago, IL 60643, USA",8.0,"2200  W 89TH ST, Chicago, IL",22.0,2007-06-05,41.7319,-87.6775,1.0,CULEX PIPIENS/RESTUANS, W 89TH ST,,T096,0.0,POINT (-87.67751199999999 41.731922),no_spray
44,"2200 West 89th Street, Chicago, IL 60643, USA",8.0,"2200  W 89TH ST, Chicago, IL",22.0,2007-06-05,41.7319,-87.6775,1.0,CULEX RESTUANS, W 89TH ST,,T096,0.0,POINT (-87.67751199999999 41.731922),no_spray
45,"2200 West 89th Street, Chicago, IL 60643, USA",8.0,"2200  W 89TH ST, Chicago, IL",22.0,2007-06-05,41.7319,-87.6775,1.0,CULEX PIPIENS, W 89TH ST,,T096,0.0,POINT (-87.67751199999999 41.731922),no_spray
46,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",8.0,"6500  N OAK PARK AVE, Chicago, IL",65.0,2007-06-05,41.9991,-87.7956,2.0,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,T143,0.0,POINT (-87.795585 41.999129),no_spray
47,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",8.0,"6500  N OAK PARK AVE, Chicago, IL",65.0,2007-06-05,41.9991,-87.7956,9.0,CULEX RESTUANS, N OAK PARK AVE,,T143,0.0,POINT (-87.795585 41.999129),no_spray
48,"1500 North Long Avenue, Chicago, IL 60651, USA",8.0,"1500  N LONG AVE, Chicago, IL",15.0,2007-06-05,41.9076,-87.7609,3.0,CULEX RESTUANS, N LONG AVE,,T153,0.0,POINT (-87.760886 41.907645),no_spray
49,"8900 South Carpenter Street, Chicago, IL 60620, USA",8.0,"8900  S CARPENTER ST, Chicago, IL",89.0,2007-06-05,41.733,-87.6496,1.0,CULEX RESTUANS, S CARPENTER ST,,T159,0.0,POINT (-87.649642 41.732984),no_spray
50,"9100 West Higgins Avenue, Chicago, IL 60656, USA",8.0,"9100  W HIGGINS AVE, Chicago, IL",91.0,2007-06-05,41.982,-87.8128,2.0,CULEX RESTUANS, W HIGGINS AVE,,T009,0.0,POINT (-87.812827 41.981964),no_spray
51,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",8.0,"3600  N PITTSBURGH AVE, Chicago, IL",36.0,2007-06-05,41.9449,-87.8328,1.0,CULEX RESTUANS, N PITTSBURGH AVE,,T011,0.0,POINT (-87.832763 41.944869),no_spray
52,"7200 North Oketo Avenue, Chicago, IL 60631, USA",8.0,"7200  N OKETO AVE, Chicago, IL",72.0,2007-06-05,42.0116,-87.8115,1.0,CULEX RESTUANS, N OKETO AVE,,T016,0.0,POINT (-87.81150600000001 42.011601),no_spray
53,"3800 North California Avenue, Chicago, IL 60618, USA",9.0,"3800  N CALIFORNIA AVE, Chicago, IL",38.0,2007-06-05,41.9498,-87.6985,1.0,CULEX RESTUANS, N CALIFORNIA AVE,,T019,0.0,POINT (-87.69845699999999 41.94983),no_spray
54,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",9.0,"4900  W BALMORAL AVE, Chicago, IL",49.0,2007-06-05,41.9792,-87.7509,1.0,CULEX RESTUANS, W BALMORAL AVE,,T025,0.0,POINT (-87.750938 41.979243),no_spray
55,"5800 North Western Avenue, Chicago, IL 60659, USA",9.0,"5800  N WESTERN AVE, Chicago, IL",58.0,2007-06-05,41.9869,-87.6898,2.0,CULEX RESTUANS, N WESTERN AVE,,T028,0.0,POINT (-87.689778 41.986921),no_spray
56,"5000 South Central Avenue, Chicago, IL 60638, USA",9.0,"5000  S CENTRAL AVE, Chicago, IL",50.0,2007-06-05,41.8015,-87.7634,1.0,CULEX PIPIENS/RESTUANS, S CENTRAL AVE,,T031,0.0,POINT (-87.76341600000001 41.801498),no_spray
57,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",9.0,"1400  N HUMBOLDT DR, Chicago, IL",14.0,2007-06-05,41.9066,-87.7014,3.0,CULEX RESTUANS, N HUMBOLDT DR,,T033,0.0,POINT (-87.701431 41.906638),no_spray
58,"South Vincennes Avenue, Chicago, IL, USA",5.0,"1000  S VINCENNES, Chicago, IL",10.0,2007-06-05,41.7232,-87.65,1.0,CULEX RESTUANS, S VINCENNES,,T089,0.0,POINT (-87.64997 41.723195),no_spray
59,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",9.0,"1100  S ASHLAND AVE, Chicago, IL",11.0,2007-06-05,41.8681,-87.6669,1.0,CULEX PIPIENS/RESTUANS, S ASHLAND AVE,,T090,0.0,POINT (-87.666901 41.868077),no_spray
60,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",9.0,"1100  S ASHLAND AVE, Chicago, IL",11.0,2007-06-05,41.8681,-87.6669,7.0,CULEX RESTUANS, S ASHLAND AVE,,T090,0.0,POINT (-87.666901 41.868077),no_spray
61,"1100 South State Street, Chicago, IL 60605, USA",8.0,"1100  S STATE ST, Chicago, IL",11.0,2007-06-05,41.8692,-87.6276,1.0,CULEX PIPIENS/RESTUANS, S STATE ST,,T092,0.0,POINT (-87.627561 41.86921599999999),no_spray
62,"4200 West 127th Street, Alsip, IL 60803, USA",8.0,"4200  W 127TH PL, Chicago, IL",42.0,2007-06-05,41.662,-87.7246,2.0,CULEX PIPIENS/RESTUANS, W 127TH PL,,T135,0.0,POINT (-87.72460799999999 41.662014),no_spray
63,"4200 West 127th Street, Alsip, IL 60803, USA",8.0,"4200  W 127TH PL, Chicago, IL",42.0,2007-06-05,41.662,-87.7246,4.0,CULEX RESTUANS, W 127TH PL,,T135,0.0,POINT (-87.72460799999999 41.662014),no_spray
64,"4200 West 127th Street, Alsip, IL 60803, USA",8.0,"4200  W 127TH PL, Chicago, IL",42.0,2007-06-05,41.662,-87.7246,1.0,CULEX PIPIENS, W 127TH PL,,T135,0.0,POINT (-87.72460799999999 41.662014),no_spray
65,"5300 West Agatite Avenue, Chicago, IL 60630, USA",9.0,"5300  W AGATITE AVE, Chicago, IL",53.0,2007-06-05,41.9617,-87.7601,1.0,CULEX PIPIENS/RESTUANS, W AGATITE AVE,,T141,0.0,POINT (-87.76007 41.961743),no_spray
66,"5300 West Agatite Avenue, Chicago, IL 60630, USA",9.0,"5300  W AGATITE AVE, Chicago, IL",53.0,2007-06-05,41.9617,-87.7601,2.0,CULEX RESTUANS, W AGATITE AVE,,T141,0.0,POINT (-87.76007 41.961743),no_spray
67,"4000 North Austin Avenue, Chicago, IL 60634, USA",8.0,"4000  N AUSTIN AVE, Chicago, IL",40.0,2007-06-05,41.9531,-87.7768,1.0,CULEX PIPIENS/RESTUANS, N AUSTIN AVE,,T142,0.0,POINT (-87.776792 41.953067),no_spray
68,"4000 North Austin Avenue, Chicago, IL 60634, USA",8.0,"4000  N AUSTIN AVE, Chicago, IL",40.0,2007-06-05,41.9531,-87.7768,3.0,CULEX RESTUANS, N AUSTIN AVE,,T142,0.0,POINT (-87.776792 41.953067),no_spray
69,"Chicago, IL, USA",3.0,"4300  N ASHLAND AVE OVERPASS, Chicago, IL",43.0,2007-06-05,41.8781,-87.6298,3.0,CULEX RESTUANS, N ASHLAND AVE OVERPASS,,T145,0.0,POINT (-87.62979799999999 41.878114),no_spray
70,"4200 North Richmond Street, Chicago, IL 60618, USA",9.0,"4200  N RICHMOND ST, Chicago, IL",42.0,2007-06-05,41.9583,-87.7026,1.0,CULEX PIPIENS/RESTUANS, N RICHMOND ST,,T146,0.0,POINT (-87.702575 41.958271),no_spray
71,"4200 North Richmond Street, Chicago, IL 60618, USA",9.0,"4200  N RICHMOND ST, Chicago, IL",42.0,2007-06-05,41.9583,-87.7026,2.0,CULEX RESTUANS, N RICHMOND ST,,T146,0.0,POINT (-87.702575 41.958271),no_spray
72,"2800 North Francisco Avenue, Chicago, IL 60618, USA",8.0,"2800  N FRANCISCO AVE, Chicago, IL",28.0,2007-06-05,41.9321,-87.7001,1.0,CULEX RESTUANS, N FRANCISCO AVE,,T147,0.0,POINT (-87.70011700000001 41.932094),no_spray
73,"1500 West Granville Avenue, Chicago, IL 60660, USA",8.0,"1500  W GRANVILLE AVE, Chicago, IL",15.0,2007-06-05,41.9945,-87.6677,1.0,CULEX PIPIENS/RESTUANS, W GRANVILLE AVE,,T149,0.0,POINT (-87.667736 41.994469),no_spray
74,"1800 West Farwell Avenue, Chicago, IL 60626, USA",9.0,"1800  W FARWELL AVE, Chicago, IL",18.0,2007-06-05,42.0069,-87.6759,2.0,CULEX RESTUANS, W FARWELL AVE,,T150,0.0,POINT (-87.67591899999999 42.006858),no_spray
75,"7000 West Armitage Avenue, Chicago, IL 60707, USA",8.0,"7000   W ARMITAGE AVENUE, Chicago, IL",70.0,2007-06-05,41.9163,-87.8005,1.0,CULEX PIPIENS/RESTUANS,  W ARMITAGE AVENUE,,T151,0.0,POINT (-87.800515 41.916265),no_spray
76,"7000 West Armitage Avenue, Chicago, IL 60707, USA",8.0,"7000   W ARMITAGE AVENUE, Chicago, IL",70.0,2007-06-05,41.9163,-87.8005,10.0,CULEX RESTUANS,  W ARMITAGE AVENUE,,T151,0.0,POINT (-87.800515 41.916265),no_spray
77,"2500 South Millard Avenue, Chicago, IL 60623, USA",9.0,"2500  S MILLARD AVE, Chicago, IL",25.0,2007-06-05,41.8461,-87.7163,1.0,CULEX RESTUANS, S MILLARD AVE,,T152,0.0,POINT (-87.71627700000001 41.846075),no_spray
78,"2100 North Lawler Avenue, Chicago, IL 60639, USA",8.0,"2100  N LAWLER AVE, Chicago, IL",21.0,2007-06-05,41.9187,-87.7523,1.0,CULEX RESTUANS, N LAWLER AVE,,T154,0.0,POINT (-87.752329 41.918705),no_spray
79,"3500 West 116th Street, Chicago, IL 60655, USA",9.0,"3500  W 116TH ST, Chicago, IL",35.0,2007-06-05,41.6826,-87.708,3.0,CULEX PIPIENS/RESTUANS, W 116TH ST,,T158,0.0,POINT (-87.707973 41.682587),no_spray
80,"3500 West 116th Street, Chicago, IL 60655, USA",9.0,"3500  W 116TH ST, Chicago, IL",35.0,2007-06-05,41.6826,-87.708,8.0,CULEX RESTUANS, W 116TH ST,,T158,0.0,POINT (-87.707973 41.682587),no_spray
81,"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA",8.0,"9300  S DR MARTIN LUTHER KING JR DR, Chicago, IL",93.0,2007-06-05,41.7255,-87.6143,1.0,CULEX PIPIENS/RESTUANS, S DR MARTIN LUTHER KING JR DR,,T162,0.0,POINT (-87.61425799999999 41.725517),no_spray
82,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",8.0,"3700  N KEDVALE AVE, Chicago, IL",37.0,2007-06-05,41.9482,-87.7307,2.0,CULEX PIPIENS/RESTUANS, N KEDVALE AVE,,T218,0.0,POINT (-87.730698 41.948167),no_spray
83,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",8.0,"3700  N KEDVALE AVE, Chicago, IL",37.0,2007-06-05,41.9482,-87.7307,1.0,CULEX RESTUANS, N KEDVALE AVE,,T218,0.0,POINT (-87.730698 41.948167),no_spray
84,"4500 North Campbell Avenue, Chicago, IL 60625, USA",9.0,"4500  N CAMPBELL AVE, Chicago, IL",45.0,2007-06-05,41.964,-87.6918,1.0,CULEX RESTUANS, N CAMPBELL AVE,,T220,0.0,POINT (-87.69181 41.963976),no_spray
85,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9.0,"4100  N OAK PARK AVE, Chicago, IL",41.0,2007-06-26,41.9547,-87.801,1.0,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,T002,0.0,POINT (-87.800991 41.95469),no_spray
86,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9.0,"4100  N OAK PARK AVE, Chicago, IL",41.0,2007-06-26,41.9547,-87.801,4.0,CULEX RESTUANS, N OAK PARK AVE,,T002,0.0,POINT (-87.800991 41.95469),no_spray
87,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9.0,"4100  N OAK PARK AVE, Chicago, IL",41.0,2007-06-26,41.9547,-87.801,1.0,CULEX SALINARIUS, N OAK PARK AVE,,T002,0.0,POINT (-87.800991 41.95469),no_spray
88,"6200 North Mandell Avenue, Chicago, IL 60646, USA",9.0,"6200  N MANDELL AVE, Chicago, IL",62.0,2007-06-26,41.995,-87.7693,1.0,CULEX PIPIENS/RESTUANS, N MANDELL AVE,,T007,0.0,POINT (-87.769279 41.994991),no_spray
89,"6200 North Mandell Avenue, Chicago, IL 60646, USA",9.0,"6200  N MANDELL AVE, Chicago, IL",62.0,2007-06-26,41.995,-87.7693,4.0,CULEX RESTUANS, N MANDELL AVE,,T007,0.0,POINT (-87.769279 41.994991),no_spray
90,"7900 West Foster Avenue, Chicago, IL 60656, USA",8.0,"7900  W FOSTER AVE, Chicago, IL",79.0,2007-06-26,41.9741,-87.8248,1.0,CULEX RESTUANS, W FOSTER AVE,,T015,0.0,POINT (-87.82481199999999 41.974089),no_spray
91,"1500 West Webster Avenue, Chicago, IL 60614, USA",8.0,"1500  W WEBSTER AVE, Chicago, IL",15.0,2007-06-26,41.9216,-87.6665,1.0,CULEX PIPIENS/RESTUANS, W WEBSTER AVE,,T045,0.0,POINT (-87.666455 41.9216),no_spray
92,"1500 West Webster Avenue, Chicago, IL 60614, USA",8.0,"1500  W WEBSTER AVE, Chicago, IL",15.0,2007-06-26,41.9216,-87.6665,1.0,CULEX RESTUANS, W WEBSTER AVE,,T045,0.0,POINT (-87.666455 41.9216),no_spray
93,"2500 West Grand Avenue, Chicago, IL 60654, USA",8.0,"2500  W GRAND AVE, Chicago, IL",25.0,2007-06-26,41.8911,-87.6545,1.0,CULEX PIPIENS/RESTUANS, W GRAND AVE,,T046,0.0,POINT (-87.65449100000001 41.891118),no_spray
94,"2500 West Grand Avenue, Chicago, IL 60654, USA",8.0,"2500  W GRAND AVE, Chicago, IL",25.0,2007-06-26,41.8911,-87.6545,6.0,CULEX RESTUANS, W GRAND AVE,,T046,0.0,POINT (-87.65449100000001 41.891118),no_spray
95,"1100 Roosevelt Road, Chicago, IL 60608, USA",8.0,"1100  W ROOSEVELT, Chicago, IL",11.0,2007-06-26,41.8671,-87.6542,2.0,CULEX PIPIENS/RESTUANS, W ROOSEVELT,,T048,0.0,POINT (-87.654224 41.867108),no_spray
96,"1100 West Chicago Avenue, Chicago, IL 60642, USA",8.0,"1100  W CHICAGO, Chicago, IL",11.0,2007-06-26,41.8963,-87.6552,1.0,CULEX RESTUANS, W CHICAGO,,T049,0.0,POINT (-87.655232 41.896282),no_spray
97,"2100 North Stave Street, Chicago, IL 60647, USA",8.0,"2100  N STAVE ST, Chicago, IL",21.0,2007-06-26,41.9193,-87.6943,1.0,CULEX RESTUANS, N STAVE ST,,T050,0.0,POINT (-87.694259 41.919343),no_spray
98,"2200 West 113th Street, Chicago, IL 60643, USA",8.0,"2200  W 113TH ST, Chicago, IL",22.0,2007-06-26,41.6883,-87.6767,1.0,CULEX PIPIENS/RESTUANS, W 113TH ST,,T086,0.0,POINT (-87.676709 41.688324),no_spray
99,"2200 West 113th Street, Chicago, IL 60643, USA",8.0,"2200  W 113TH ST, Chicago, IL",22.0,2007-06-26,41.6883,-87.6767,1.0,CULEX PIPIENS/RESTUANS, W 113TH ST,,T086,0.0,POINT (-87.676709 41.688324),no_spray
100,"2200 West 113th Street, Chicago, IL 60643, USA",8.0,"2200  W 113TH ST, Chicago, IL",22.0,2007-06-26,41.6883,-87.6767,2.0,CULEX RESTUANS, W 113TH ST,,T086,0.0,POINT (-87.676709 41.688324),no_spray
101,"2200 West 89th Street, Chicago, IL 60643, USA",8.0,"2200  W 89TH ST, Chicago, IL",22.0,2007-06-26,41.7319,-87.6775,5.0,CULEX RESTUANS, W 89TH ST,,T096,0.0,POINT (-87.67751199999999 41.731922),no_spray
102,"North Streeter Drive, Chicago, IL 60611, USA",5.0,"5300  N STREETER DR, Chicago, IL",53.0,2007-06-26,41.8911,-87.6116,1.0,CULEX PIPIENS/RESTUANS, N STREETER DR,,T129,0.0,POINT (-87.61156 41.891126),no_spray
103,"North Streeter Drive, Chicago, IL 60611, USA",5.0,"5300  N STREETER DR, Chicago, IL",53.0,2007-06-26,41.8911,-87.6116,1.0,CULEX RESTUANS, N STREETER DR,,T129,0.0,POINT (-87.61156 41.891126),no_spray
